"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-26","92",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-27","96",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-02-28","95",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-01","91",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-02",,,,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-03","88",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-04","87",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-05","87",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-06","91",",,S","65",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-07","89",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-08","91",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-09","87",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-10","89",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-11","90",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-12","94",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-13","97",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-14","99",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-15","99",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-16","98",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-17","97",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-18","96",",,S","66",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-19","97",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-20","98",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-21",,,"71",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-22","92",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-23","93",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-24","96",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-25","96",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-26","96",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-27","97",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-28","99",",,S","71",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-29","97",",,S","73",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-30",,,"70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-03-31","96",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-01","99",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-02","102",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-03","104",",,S","71",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-04","105",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-05","107",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-06","106",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-07",,,,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-08","94",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-09","91",",,S","70",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-10","93",",,S","65",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-11","95",",,S","67",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-12","100",",,S","68",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-13","104",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-14","102",",,S","69",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-15","104",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-16","103",",,S","74",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-17","106",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-18","105",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-19","105",",,S","72",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-20","104",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-21","104",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-22","99",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-23","100",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-24","101",",,S","74",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-25","96",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-26","101",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-27","102",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-28","103",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-29","101",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-04-30","101",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-01","102",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-02","102",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-03","101",",,S","77",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-05-04","98",",,S","77",",,S"
